page,directory,component,componentPath,used
cardSwiperPage,f:\study\wx-mall-components\dist\pages/cardSwiperPage,card-swiper,/components/card-swiper/card-swiper,true
cardSwiperPage,f:\study\wx-mall-components\dist\pages/cardSwiperPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
cardSwiperPage,f:\study\wx-mall-components\dist\pages/cardSwiperPage,grid,/components/grid/grid,false
datePickerPage,f:\study\wx-mall-components\dist\pages/datePickerPage,date-picker,/components/date-picker/date-picker,true
directoryPage,f:\study\wx-mall-components\dist\pages/directoryPage,side-directory,/components/side-directory/side-directory,true
directoryPage,f:\study\wx-mall-components\dist\pages/directoryPage,piclist-directory,/components/piclist-directory/piclist-directory,true
dropdownSelectPage,f:\study\wx-mall-components\dist\pages/dropdownSelectPage,dropdown-select,/components/dropdown-select/dropdown-select,true
dropdownSelectPage,f:\study\wx-mall-components\dist\pages/dropdownSelectPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
gridPage,f:\study\wx-mall-components\dist\pages/gridPage,grid,/components/grid/grid,true
gridPage,f:\study\wx-mall-components\dist\pages/gridPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
index,f:\study\wx-mall-components\dist\pages/index,skin,/components/skin/skin,true
inputPage,f:\study\wx-mall-components\dist\pages/inputPage,form-input,/components/form-input/form-input,true
inputPage,f:\study\wx-mall-components\dist\pages/inputPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
lzButtonPage,f:\study\wx-mall-components\dist\pages/lzButtonPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
lzButtonPage,f:\study\wx-mall-components\dist\pages/lzButtonPage,lz-button,/components/lz-button/lz-button,true
orderPicinfoviewPage,f:\study\wx-mall-components\dist\pages/orderPicinfoviewPage,order-picinfoview,/components/order-picinfoview/order-picinfoview,true
orderPicinfoviewPage,f:\study\wx-mall-components\dist\pages/orderPicinfoviewPage,order-picinfocard,/components/order-picinfocard/order-picinfocard,true
orderPicinfoviewPage,f:\study\wx-mall-components\dist\pages/orderPicinfoviewPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
productPicinfoviewPage,f:\study\wx-mall-components\dist\pages/productPicinfoviewPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,false
productPicinfoviewPage,f:\study\wx-mall-components\dist\pages/productPicinfoviewPage,product-picinfoview,/components/product-picinfoview/product-picinfoview,true
productPicinfoviewPage,f:\study\wx-mall-components\dist\pages/productPicinfoviewPage,product-picinfocard,/components/product-picinfocard/product-picinfocard,true
richEditorPage,f:\study\wx-mall-components\dist\pages/richEditorPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
richEditorPage,f:\study\wx-mall-components\dist\pages/richEditorPage,rich-editor,/components/rich-editor/rich-editor,true
richTextPage,f:\study\wx-mall-components\dist\pages/richTextPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
searchPage,f:\study\wx-mall-components\dist\pages/searchPage,search,/components/search/search,true
searchPage,f:\study\wx-mall-components\dist\pages/searchPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
selectTabPage,f:\study\wx-mall-components\dist\pages/selectTabPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
selectTabPage,f:\study\wx-mall-components\dist\pages/selectTabPage,select-tab,/components/select-tab/select-tab,true
toastPage,f:\study\wx-mall-components\dist\pages/toastPage,toast,/components/toast/toast,true
toastPage,f:\study\wx-mall-components\dist\pages/toastPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
toptipsPage,f:\study\wx-mall-components\dist\pages/toptipsPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
toptipsPage,f:\study\wx-mall-components\dist\pages/toptipsPage,toptips,/components/toptips/toptips,true
