page,directory,component,componentPath,used
cardSwiperPage,f:\study\wx-mall-components\dist\pages/cardSwiperPage,card-swiper,/components/card-swiper/card-swiper,1
cardSwiperPage,f:\study\wx-mall-components\dist\pages/cardSwiperPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,1
cardSwiperPage,f:\study\wx-mall-components\dist\pages/cardSwiperPage,grid,/components/grid/grid,
datePickerPage,f:\study\wx-mall-components\dist\pages/datePickerPage,date-picker,/components/date-picker/date-picker,1
directoryPage,f:\study\wx-mall-components\dist\pages/directoryPage,side-directory,/components/side-directory/side-directory,1
directoryPage,f:\study\wx-mall-components\dist\pages/directoryPage,piclist-directory,/components/piclist-directory/piclist-directory,1
dropdownSelectPage,f:\study\wx-mall-components\dist\pages/dropdownSelectPage,dropdown-select,/components/dropdown-select/dropdown-select,1
dropdownSelectPage,f:\study\wx-mall-components\dist\pages/dropdownSelectPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,1
gridPage,f:\study\wx-mall-components\dist\pages/gridPage,grid,/components/grid/grid,1
gridPage,f:\study\wx-mall-components\dist\pages/gridPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,1
index,f:\study\wx-mall-components\dist\pages/index,skin,/components/skin/skin,1
inputPage,f:\study\wx-mall-components\dist\pages/inputPage,form-input,/components/form-input/form-input,1
inputPage,f:\study\wx-mall-components\dist\pages/inputPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,1
lzButtonPage,f:\study\wx-mall-components\dist\pages/lzButtonPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,1
lzButtonPage,f:\study\wx-mall-components\dist\pages/lzButtonPage,lz-button,/components/lz-button/lz-button,1
orderPicinfoviewPage,f:\study\wx-mall-components\dist\pages/orderPicinfoviewPage,order-picinfoview,/components/order-picinfoview/order-picinfoview,1
orderPicinfoviewPage,f:\study\wx-mall-components\dist\pages/orderPicinfoviewPage,order-picinfocard,/components/order-picinfocard/order-picinfocard,1
orderPicinfoviewPage,f:\study\wx-mall-components\dist\pages/orderPicinfoviewPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,1
productPicinfoviewPage,f:\study\wx-mall-components\dist\pages/productPicinfoviewPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,
productPicinfoviewPage,f:\study\wx-mall-components\dist\pages/productPicinfoviewPage,product-picinfoview,/components/product-picinfoview/product-picinfoview,1
productPicinfoviewPage,f:\study\wx-mall-components\dist\pages/productPicinfoviewPage,product-picinfocard,/components/product-picinfocard/product-picinfocard,1
richEditorPage,f:\study\wx-mall-components\dist\pages/richEditorPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,1
richEditorPage,f:\study\wx-mall-components\dist\pages/richEditorPage,rich-editor,/components/rich-editor/rich-editor,1
richTextPage,f:\study\wx-mall-components\dist\pages/richTextPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,1
searchPage,f:\study\wx-mall-components\dist\pages/searchPage,search,/components/search/search,1
searchPage,f:\study\wx-mall-components\dist\pages/searchPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,1
selectTabPage,f:\study\wx-mall-components\dist\pages/selectTabPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,1
selectTabPage,f:\study\wx-mall-components\dist\pages/selectTabPage,select-tab,/components/select-tab/select-tab,1
toastPage,f:\study\wx-mall-components\dist\pages/toastPage,toast,/components/toast/toast,1
toastPage,f:\study\wx-mall-components\dist\pages/toastPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,1
toptipsPage,f:\study\wx-mall-components\dist\pages/toptipsPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,1
toptipsPage,f:\study\wx-mall-components\dist\pages/toptipsPage,toptips,/components/toptips/toptips,1
