page,directory,component,componentPath,used
cardSwiperPage,F:\study\wx-mall-components\dist\pages/cardSwiperPage,card-swiper,/components/card-swiper/card-swiper,true
cardSwiperPage,F:\study\wx-mall-components\dist\pages/cardSwiperPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
cardSwiperPage,F:\study\wx-mall-components\dist\pages/cardSwiperPage,grid,/components/grid/grid,false
datePickerPage,F:\study\wx-mall-components\dist\pages/datePickerPage,date-picker,/components/date-picker/date-picker,true
directoryPage,F:\study\wx-mall-components\dist\pages/directoryPage,side-directory,/components/side-directory/side-directory,true
directoryPage,F:\study\wx-mall-components\dist\pages/directoryPage,piclist-directory,/components/piclist-directory/piclist-directory,true
dropdownSelectPage,F:\study\wx-mall-components\dist\pages/dropdownSelectPage,dropdown-select,/components/dropdown-select/dropdown-select,true
dropdownSelectPage,F:\study\wx-mall-components\dist\pages/dropdownSelectPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
gridPage,F:\study\wx-mall-components\dist\pages/gridPage,grid,/components/grid/grid,true
gridPage,F:\study\wx-mall-components\dist\pages/gridPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
index,F:\study\wx-mall-components\dist\pages/index,skin,/components/skin/skin,true
inputPage,F:\study\wx-mall-components\dist\pages/inputPage,form-input,/components/form-input/form-input,true
inputPage,F:\study\wx-mall-components\dist\pages/inputPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
lzButtonPage,F:\study\wx-mall-components\dist\pages/lzButtonPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
lzButtonPage,F:\study\wx-mall-components\dist\pages/lzButtonPage,lz-button,/components/lz-button/lz-button,true
orderPicinfoviewPage,F:\study\wx-mall-components\dist\pages/orderPicinfoviewPage,order-picinfoview,/components/order-picinfoview/order-picinfoview,true
orderPicinfoviewPage,F:\study\wx-mall-components\dist\pages/orderPicinfoviewPage,order-picinfocard,/components/order-picinfocard/order-picinfocard,true
orderPicinfoviewPage,F:\study\wx-mall-components\dist\pages/orderPicinfoviewPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
productPicinfoviewPage,F:\study\wx-mall-components\dist\pages/productPicinfoviewPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,false
productPicinfoviewPage,F:\study\wx-mall-components\dist\pages/productPicinfoviewPage,product-picinfoview,/components/product-picinfoview/product-picinfoview,true
productPicinfoviewPage,F:\study\wx-mall-components\dist\pages/productPicinfoviewPage,product-picinfocard,/components/product-picinfocard/product-picinfocard,true
richEditorPage,F:\study\wx-mall-components\dist\pages/richEditorPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
richEditorPage,F:\study\wx-mall-components\dist\pages/richEditorPage,rich-editor,/components/rich-editor/rich-editor,true
richTextPage,F:\study\wx-mall-components\dist\pages/richTextPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
searchPage,F:\study\wx-mall-components\dist\pages/searchPage,search,/components/search/search,true
searchPage,F:\study\wx-mall-components\dist\pages/searchPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
selectTabPage,F:\study\wx-mall-components\dist\pages/selectTabPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
selectTabPage,F:\study\wx-mall-components\dist\pages/selectTabPage,select-tab,/components/select-tab/select-tab,true
toastPage,F:\study\wx-mall-components\dist\pages/toastPage,toast,/components/toast/toast,true
toastPage,F:\study\wx-mall-components\dist\pages/toastPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
toptipsPage,F:\study\wx-mall-components\dist\pages/toptipsPage,wxParse,/miniprogram_npm/wx-minicomponent/wxParse,true
toptipsPage,F:\study\wx-mall-components\dist\pages/toptipsPage,toptips,/components/toptips/toptips,true
