image,existPath
base.png,F:\study\wx-mall-components\dist\pages/index/index.wxml
business.png,F:\study\wx-mall-components\dist\pages/index/index.wxml
form.png,F:\study\wx-mall-components\dist\pages/index/index.wxml
icon_camera_big.png,F:\study\wx-mall-components\dist\components/piclist-directory/piclist-directory.wxml
icon_cash_error.png,F:\study\wx-mall-components\dist\components/toast/toast.wxml
icon_checkbox_selected.png,F:\study\wx-mall-components\dist\components/form-input/form-input.wxml
icon_checkbox_selected.png,F:\study\wx-mall-components\dist\components/select-tab/select-tab.wxml
icon_checklist.png,F:\study\wx-mall-components\dist\components/dropdown-select/dropdown-select.wxml
icon_clear_samll_grey.png,F:\study\wx-mall-components\dist\components/piclist-directory/piclist-directory.wxml
icon_complete.png,F:\study\wx-mall-components\dist\components/toast/toast.wxml
icon_editor_bold_def.png,F:\study\wx-mall-components\dist\components/rich-editor/rich-editor.wxml
icon_editor_bold_pre.png,F:\study\wx-mall-components\dist\components/rich-editor/rich-editor.wxml
icon_editor_check.png,F:\study\wx-mall-components\dist\components/rich-editor/rich-editor.wxml
icon_editor_color_def.png,F:\study\wx-mall-components\dist\components/rich-editor/rich-editor.wxml
icon_editor_color_pre.png,F:\study\wx-mall-components\dist\components/rich-editor/rich-editor.wxml
icon_editor_keyboard.png,F:\study\wx-mall-components\dist\components/rich-editor/rich-editor.wxml
icon_editor_photo.png,F:\study\wx-mall-components\dist\components/rich-editor/rich-editor.wxml
icon_extended_gray.png,F:\study\wx-mall-components\dist\pages/index/index.wxml
icon_extended_gray.png,F:\study\wx-mall-components\dist\components/form-input/form-input.wxml
icon_search_dark.png,F:\study\wx-mall-components\dist\components/search/search.wxml
icon_select_round_selected_blue.png,没有用到
mutual.png,F:\study\wx-mall-components\dist\pages/index/index.wxml
wechat.jpg,没有用到
业务.png,没有用到
交互.png,没有用到
基础.png,没有用到
文档.png,没有用到
